Ref,CharDate,Character,CharNote,CDate,UDate,CName,UName
73,,58,"Lives at Keepers Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
74,,59,"Lives at Woodbine Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
75,,61,"Lives at Woodbine Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
76,,62,"Lives at Wheathead","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
77,,63,"Lives at Wheathead","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
78,,64,"Lives at Honeysuckle Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
79,,74,"Lives at Council Houses","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
80,,75,"Lives at Gloucester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
81,,76,"Lives at Grange Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
82,,77,"Lives at Grange Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
83,,78,"Lives at Grange Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
84,,79,"Lives at Grange Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
85,,80,"Lives at Grange Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
86,,81,"Lives at Blossom Hill Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
87,,83,"Lives at Bull Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
88,,84,"Lives at Bull Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
89,,89,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
90,,90,"Lives at Glebe Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
91,,91,"Lives at Little Croxley","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
92,,93,"Lives at Paradise Farm, Edgeley","02/09/99 00:00:00","09/21/06 11:49:18","DataEase","fishec50"
93,,95,"Lives at Felpersham","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
94,,96,"Lives at Felpersham","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
95,,98,"Lives at 6 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
96,,99,"Lives at 6 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
97,,100,"Lives at 6 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
98,,101,"Lives at 6 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
99,,102,"Lives at 6 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
100,,103,"Lives at 6 The Green (Council)","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
101,,104,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
102,,105,"Lives at Unknown","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
103,,106,"Lives at No Established Residence","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
104,,107,"Lives at No Established Residence","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
105,,108,"Lives at No Established Residence","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
107,,110,"Lives at Wales","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
108,,112,"Lives at Flat Above The Wine Bar","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
109,,113,"Lives at Wales","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
110,,114,"Lives at Wales","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
111,,118,"Lives at Netherbourne Hall","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
112,,119,"Lives at Lower Loxley","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
113,,121,"Lives at Borsetshire","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
114,,125,"Lives at Boston","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
115,,126,"Lives at Lower Loxley","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
116,,127,"Lives at The Bull","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
117,,128,"Lives at The Bull","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
118,,129,"Lives at Abroad","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
119,,130,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
120,,131,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
121,,134,"Lives at Manorfield Close","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
122,,135,"Lives at Unknown","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
123,,136,"Lives at 8 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
124,,137,"Lives at 8 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
125,,140,"Lives at Layton Cross","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
126,,142,"Lives at Ambridge Hall","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
127,,143,"Lives at Ambridge Hall","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
128,,146,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
129,,149,"Lives at Ambridge","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
131,,151,"Lives at Waterley Cross","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
132,,154,"Lives at Glebelands","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
133,,155,"Lives at Denmark","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
134,,157,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
135,,159,"Lives at No Established Residence","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
136,,160,"Lives at Willow Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
137,,161,"Lives at Willow Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
139,,163,"Lives at Willow Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
141,,167,"Lives at 4 Barn Conversions","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
142,,170,"Lives at Home Farm Cottages","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
143,,172,"Lives at Bankok","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
144,,173,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
146,,175,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
147,,176,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
148,,177,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
149,,178,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
150,,179,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
151,,180,"Lives at Unknown","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
153,,186,"Lives at Hollerton","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
154,,187,"Lives at Amos Atkin's Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
156,,189,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
157,,191,"Lives at Wolverhampton","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
159,,194,"Lives at Hillside Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
160,,195,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
161,,196,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
162,,197,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
163,,198,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
164,,206,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
165,,208,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
166,,210,"Lives at Ambridge Village","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
169,,218,"Lives at Old Thornton Farm/Estate","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
170,,225,"Lives at Paunton Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
171,,226,"Lives at Paunton Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
172,,227,"Lives at Penny Hassett","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
173,,228,"Lives at Penny Hassett","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
174,,229,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
175,,232,"Lives at London","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
176,,233,"Lives at London","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
177,,235,"Lives at Blossom Hill Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
178,,242,"Lives at The Manor","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
179,,244,"Lives at Stafford","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
180,,245,"Lives at Vancouver","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
181,,246,"Lives at London","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
183,,250,"Is in Prison","02/09/99 00:00:00","01/16/06 12:59:28","DataEase","fishec50"
184,,254,"Lives at Blossom Hill Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
185,,255,"Lives at Hollerton","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
186,,261,"Lives at No Established Residence","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
187,,262,"Lives at No Established Residence","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
188,,263,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
189,,265,"Lives at Ex - Station House","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
190,,272,"Lives at Hill Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
191,,279,"Lives at Blossom Hill Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
192,,284,"Lives at Grey Gables Lodge","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
193,,285,"Lives at Leamington","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
194,,287,"Lives at Hill Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
195,,288,"Lives at Hill Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
196,,291,"Lives at Waterley Cross","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
198,,293,"Lives at 11 Glebelands","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
199,,300,"Lives at Darrington","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
200,,311,"Lives at Brookfield Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
201,,312,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
202,,314,"Lives at Ambridge Hall","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
203,,317,"Lives at Glebe Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
204,,318,"Lives at The Bull","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
205,,319,"Lives at Rickyard Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
206,,320,"Lives at Rickyard Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
207,,321,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
208,,323,"Lives at Lower Loxley","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
209,,329,"Lives at Dower House","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
210,,330,"Lives at Grey Gables","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
211,,331,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
212,,332,"Lives at Riding Stables","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
213,,333,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
214,,334,"Lives at Brookfield Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
215,,335,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
216,,336,"Lives at Rickyard Cottage","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
217,,337,"Lives at Edgeley","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
218,,338,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
219,,341,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
220,,345,"Lives at Dower House","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
222,,351,"Lives at Meyruelle","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
224,,366,"Lives at Darrington","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
225,,367,"Lives at Home Farm Cottages","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
226,,369,"Lives at Glebelands","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
227,,370,"Lives at Manor Court","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
228,,375,"Lives at The Cat And Fiddle","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
229,,377,"Lives at Home Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
230,,382,"Lives at Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
