Ref,Relationship,WDate,DivDate,Comments,CDate,UDate,CName,UName
55,"Gupta",,,,"08/12/08 11:07:28","08/12/08 11:07:28","fishec50","fishec50"
57,"Mother and Toddler",,,"Also includes playgroups","05/29/09 10:37:30","05/29/09 10:37:30","fishec50","fishec50"
58,"NFU",,,,"07/23/09 10:31:55","07/23/09 10:31:55","fishec50","fishec50"
59,"Tucker Mike and Vicky","07/15/09 00:00:00",,,"10/20/09 15:23:34","10/20/09 15:23:34","fishec50","fishec50"
60,"Alice and Chris","07/28/10 00:00:00",,,"10/14/10 11:12:14","10/14/10 11:12:14","fishec50","fishec50"
61,"Felpersham Light Opera Society",,,,"01/17/11 11:58:59","01/17/11 11:58:59","fishec50","fishec50"
63,"Borchester Land",,,,"01/18/12 12:21:07","01/18/12 12:21:08","fishec50","fishec50"
64,"PCC",,,,"05/13/13 17:27:56","05/13/13 17:27:56","fishec50","fishec50"
65,"Living together",,,,"08/01/13 14:38:22","08/01/13 14:38:22","fishec50","fishec50"
62,"Will and Nic","01/01/12 00:00:00",,"William's second marriage. Nic's two children by Andrew","01/09/12 14:29:03","01/09/12 14:29:56","fishec50","fishec50"
27,"Gerrard Family","05/12/00 00:00:00","05/12/03 00:00:00","Debbie's decree absolute came through on her wedding anniversary.","06/09/00 12:25:11","02/21/12 11:52:09","fishec50","fishec50"
