Ref,Storyline,Comments,CDate,UDate,CName,UName
35,"Cricket Single Wicket","The actual rules are the same as for any game of cricket in terms of runs, ways of getting out etc. Single wicket refers not to the stumps (a common misconception) but to the fact that it is a knockout competition involving individuals rather than teams. After round one, eight players remain and so on until two players are left to contest the final. Sometimes, the semi-finals and final will comprise three and four overs respectively.  Fielding is done by the other players on a rotational basis. So while player A plays player B, ten of the others will  field (including a wicket keeper). The other four (usually the two pairs involved in the next two games) will get ready to play, put pads on, do the score book, do the umpiring and make the teas. Except in Ambridge, where they always have an umpire and someone to do the teas.
Played on the late May Bank Holiday (not always)","02/11/99 00:00:00","01/14/09 15:38:42","DataEase","fishec50"
36,"Daniel's Systemic Juvenile Rheumatoid Arthritis",,"02/11/99 00:00:00","08/10/10 15:23:46","DataEase","fishec50"
37,"Darrington Scam",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
38,"David and Ruth",,"02/11/99 00:00:00","02/26/07 15:00:05","DataEase","fishec50"
39,"Death of John Archer",,"02/11/99 00:00:00","04/04/06 12:36:13","DataEase","fishec50"
40,"Death of Portia the dog",,"02/11/99 00:00:00","04/04/06 12:40:22","DataEase","fishec50"
41,"Death of Tom And Pru",,"02/11/99 00:00:00","07/13/10 16:32:40","DataEase","fishec50"
42,"Deathwatch Beetle",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
43,"Deb And Steve",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
44,"Debbie's Future",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
45,"Disappearance Of Nelson",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
46,"Drugs","Also see Drugs - ketamine for Jazzer in 2002","02/11/99 00:00:00","07/25/02 15:58:59","DataEase","fishec50"
47,"Easter","2007 see Town Crier contest","02/11/99 00:00:00","03/30/07 11:46:56","DataEase","fishec50"
48,"Elly May",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
49,"Emma is Bullied",,"02/11/99 00:00:00","03/27/07 15:57:38","DataEase","fishec50"
51,"Events at Lower Loxley",,"02/11/99 00:00:00","07/16/09 11:33:31","DataEase","fishec50"
52,"Exams",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
53,"Rent",,"02/11/99 00:00:00","05/31/06 10:30:46","DataEase","fishec50"
54,"Farming",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
55,"Feed Co-Op",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
56,"Felpersham Show",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
57,"Fergie",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
58,"Financial Problems At Brookfield",,"02/11/99 00:00:00","02/12/99 15:24:44","DataEase","fishec50"
59,"Floral Carpet",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
60,"Flower And Produce Show","Dates:   6.9.75:  11.9.76: 12.9.77:  9.9.78:  8.9.79: 6.9.80                         ?.?.81:21.8.82: 27.8.83: 11.8.84: 10.8.85: 19.9.90: 20.9.91                       ?.?.92:17.9.93: 16.9.94: 22.9.95: 27.9.96: 24.9.97
The show is organized by a committee. In the early years, Carol Tregorran. Peggy Archer etc.  
In 1991 Martha resigns because Marjorie accused her of spending too much time with Kylie.
Committee now: Jill, Marjorie, Shula, Lynda, Peggy (1998)
The Show is held in The Village Hall and there are cups and rosettes.  There is also a children’s section.
1996:The Fete and The Flower and Produce were joined together because of the Summer Festival.  The F&P was judged by Janet.  Auntie Satya was there. Flowers:Usha won with her Rudbeckias (Richard had picked some of them). Lynda came second with her Chrysanthemums and Len Webster came third.  Vegetables: Tom came first with his potatoes and second with his onions, Bert came their in both categories.
1997: Tom, Hayley, Tommy and the marrow.
1998: Not dramatized 
1999 As Tom and Pru died in November last year this is the first Flower and Produce Show without them.","02/11/99 00:00:00","05/27/99 14:01:12","DataEase","fishec50"
61,"Football","Quote from the fixture list of 1976-7 ""After home games the team will adjourn to the Bull where they will provide their visitors with a snack and a pint. Sid will probably set aside a special room for this. Injuries are rife at this level of kick-about soccer. Among the younger players it will be bruises and strains or sheer battle fatigue. It is rare that a team survives a season without the odd broken leg or nose, and at least one member will be unavailable through injury each week. Wives are notoriously unsympathetic to these sporting mishaps.""","02/11/99 00:00:00","03/25/09 16:34:23","DataEase","fishec50"
62,"George's Work",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
63,"Grange Farm Money Worries",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
64,"Personalised Number Plates",,"02/11/99 00:00:00","07/22/10 10:29:57","DataEase","fishec50"
65,"Grange Farm Troubles",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
66,"Turkeys","2001 as the Grundys no longer live at Grange Farm the turkeys were housed at Willow Farm.
2003 they are kept in the pole barn on te Grundy's field","02/11/99 00:00:00","10/10/07 14:53:45","DataEase","fishec50"
68,"Grey Gables Fashion Show",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
70,"Guy Behind The Bar",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
71,"Death of Guy Pemberton",,"02/11/99 00:00:00","04/04/06 12:38:13","DataEase","fishec50"
72,"Hands Off Our Fingerposts",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
73,"Harvest",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
74,"Harvest Supper",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
75,"Bridge Farm Sausages - Second Chapter","Hayley, Tommy And The Pigs.
Always worth checking the word ""sausages"" as there are several storylines that cover both John's and Tom’s pigs.","02/11/99 00:00:00","11/10/11 11:36:16","DataEase","fishec50"
76,"Haymaking",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
77,"Health",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
79,"Homophobic Sid",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
80,"Howard Friend's Store",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
81,"Hunting",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
82,"Jack's Bentley",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
83,"Jamie's Christening",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
84,"Jill and her Grandchildren",,"02/11/99 00:00:00","03/30/07 11:58:26","DataEase","fishec50"
85,"Joe's Health Story",,"02/11/99 00:00:00","09/12/12 10:46:53","DataEase","fishec50"
86,"John And Hayley",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
88,"Bridge Farm Sausages - First Chapter","John's Pigs
Always worth checking the word ""sausages"" as there are several storylines that cover both John's and Tom’s pigs.","02/11/99 00:00:00","11/10/11 11:36:02","DataEase","fishec50"
89,"Julia's Book",,"02/11/99 00:00:00","11/01/05 14:38:23","DataEase","fishec50"
90,"Julia's Drinking",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
91,"Gambling","See Poker - Alistair's gambling problem","02/11/99 00:00:00","05/22/06 15:11:16","DataEase","fishec50"
92,"Julia's Gambling",,"02/11/99 00:00:00","11/01/05 14:42:59","DataEase","fishec50"
93,"Kate and Gibson",,"02/11/99 00:00:00","05/28/10 17:03:41","DataEase","fishec50"
94,"Kate and Roy",,"02/11/99 00:00:00","05/28/10 17:03:35","DataEase","fishec50"
95,"Kate's Baby",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
96,"Kate's Pregnancy",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
97,"Kate's disappearance",,"02/11/99 00:00:00","11/30/01 16:51:22","DataEase","fishec50"
98,"Kate's Travels",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
99,"Kathy Teaching",,"02/11/99 00:00:00","10/04/13 11:40:31","DataEase","fishec50"
100,"Kathy's Pregnancy",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
101,"Kenton money matters",,"02/11/99 00:00:00","09/30/13 15:57:37","DataEase","fishec50"
102,"Kissing Gates",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
105,"Elizabeth and Nigel's wedding",,"02/11/99 00:00:00","09/30/13 15:59:09","DataEase","fishec50"
106,"Lottery",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
108,"Lucy's Wedding",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
109,"Lynda At Grey Gables",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
110,"Lynda's Garden",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
111,"Elizabeth and Nigel  - marital problems",,"02/11/99 00:00:00","09/30/13 15:58:56","DataEase","fishec50"
112,"Marjorie's Eyesight",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
113,"Death of Mark Hebden",,"02/11/99 00:00:00","06/07/01 11:24:22","DataEase","fishec50"
115,"Production - Midsummer Night's Dream",,"02/11/99 00:00:00","08/27/03 15:57:29","DataEase","fishec50"
116,"Mike's Job",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
117,"Milk Marque",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
119,"Neil and Borchester Mills",,"02/11/99 00:00:00","03/29/07 11:04:10","DataEase","fishec50"
121,"Neil's Work",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
122,"Neil, Susan And Mo",,"02/11/99 00:00:00","03/15/10 15:52:39","DataEase","fishec50"
123,"Nelson And Julia",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
125,"Nelson's Story",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
126,"New Landlord At The Estate",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
127,"Elizabeth and Nigel",,"02/11/99 00:00:00","02/09/11 14:47:52","DataEase","fishec50"
128,"Production - Opera",,"02/11/99 00:00:00","08/27/03 15:57:52","DataEase","fishec50"
129,"Production - panto 1998 Jack & The Beanstalk","Snatch and Baggy  -  Claribelle the cow/horse
Higgs:  lost his voice so Jack played Widow Twankey
Peter:  The Giant Snufflegobbler
Freda:  Fairy
Tracy: Jack


Lynda -  prompt
Hayley: music - Phil played the piano
Peggy  front of house","02/11/99 00:00:00","01/17/11 14:56:33","DataEase","fishec50"
131,"Party",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
133,"Peace Quilt",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
134,"Phil's Cooking",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
135,"Pick Your Own",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
136,"Pipeline",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
137,"Playground",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
138,"Ploughing  Match",,"02/11/99 00:00:00","07/14/11 11:27:49","DataEase","fishec50"
139,"Poachers In The Country Park",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
140,"Poaching",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
141,"Racism",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
142,"Raid Fallout",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
143,"The Bull - Refurbishing",,"02/11/99 00:00:00","07/05/06 15:57:30","DataEase","fishec50"
144,"Reminiscences",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
145,"Return Of Jolene",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
146,"Richard's Problems",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
147,"Robbery",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
149,"Robert's Work",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
150,"Caroline and Robin",,"02/11/99 00:00:00","08/23/06 10:39:58","DataEase","fishec50"
151,"Ruby Wedding",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
153,"Ruth's Pregnancy",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
154,"Ruth's Speech",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
155,"Sale of The Bull","For the 2006 sale of Caroline's share of The Bull also see sale of Grey Gables and sale of The Dower House","02/11/99 00:00:00","03/10/06 14:07:59","DataEase","fishec50"
156,"Sale of The Estate",,"02/11/99 00:00:00","02/19/08 10:23:28","DataEase","fishec50"
157,"Sale of The Vicarage",,"02/11/99 00:00:00","02/19/08 10:23:36","DataEase","fishec50"
158,"Sammy Whipple's Cottage",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
159,"Sealed Knot",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
161,"Second War 'Plane",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
162,"John and Sharon",,"02/11/99 00:00:00","08/10/11 16:50:22","DataEase","fishec50"
163,"Sharon's Return",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
164,"Shoot","Drives: Little Hollow, Lyttleton,  Cuckoo Covert,  Jiggins Cops, Cherrywood drive, Blackbird, Spitfire, Badger's Bank, Warren Coppice, Juniper, Kestrel, Cranesbill, High Trees and Long Wood.
2011 - new Presidents","02/11/99 00:00:00","11/04/11 15:36:20","DataEase","fishec50"
165,"Shula and Alistair","See Shula and Richar and Alistair.
Alistair’s gambling causes problems in his marriage which can be found in Poker and the Soapbox Derby storyline.","02/11/99 00:00:00","02/29/12 12:15:51","DataEase","fishec50"
166,"Shula and Alistair's Wedding",,"02/11/99 00:00:00","02/29/12 12:15:58","DataEase","fishec50"
168,"Shula and Richard and Alistair",,"02/11/99 00:00:00","02/22/08 16:03:42","DataEase","fishec50"
169,"Shula and Simon Pemberton",,"02/11/99 00:00:00","05/24/11 17:32:46","DataEase","fishec50"
170,"Shula's baby",,"02/11/99 00:00:00","09/30/13 15:59:37","DataEase","fishec50"
171,"Shula's IVF","Archive note
Shula and Mark married  (after some hesitation) in September 1985.  Eighteen months later and she thought she might be pregnant, but the test result was negative.  Both Shula and Mark were relieved as it was too soon to start a family.
A year later in January 1988 and they decided that the time was right and told Jill that they were thinking of babies.  By November no babies had appeared  - so Mark had a word with the doctor.
In January 1989 Shula had been through the Well Woman Clinic process and everything seemed fine.  However she avoided the next step - the gynaecologist - because she was worried what they might tell her.  This caused problems in their marriage and by March, Mark had moved out.
They were reconciled and Shula made her appointment with the gynaecologist, which was followed by a Laparoscopy in April ‘89.
Shula had endometriosis, but as soon that that was cleared up everything should be fine again.  By February still no baby and they were trying.
Then in October 1990 Shula became pregnant - at last - she was very happy. November and she had suffered sharp pains in her side - the pregnancy was ectopic.  Shula had to have the baby terminated and she lost a fallopian tube.
Worse off than ever and in May 1992 Lizzie gets pregnant.  Shula starts to entertain fanaticises about adopting the baby and bring it up as her own.  Elizabeth has an abortion and  Shula is devastated.
She and Mark agree to look into IVF by March 1993 they have their first appointment and then in May her eggs are harvested and in June they are implanted.  Shula gets pregnant but not for long  - she has a miscarriage. Sad Shula has to recover before she can have a second go.
February 1994 and they have their second attempt at IVF. But before they are able to find out if the eggs have taken, Mark is killed in a car accident.
On her doctor’s (Richard) advice, Shula continues  the injections and in November 1994 Daniel is born.","02/11/99 00:00:00","10/29/99 12:51:29","DataEase","FISHEC50"
172,"Sid Gets Fit",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
173,"Debbie and Simon Pemberton",,"02/11/99 00:00:00","08/23/06 10:42:05","DataEase","fishec50"
174,"Simon And Guy",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
175,"Simon Pemberton",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
177,"Production - Summer Festival",,"02/11/99 00:00:00","08/27/03 15:58:43","DataEase","fishec50"
178,"Susan's Trial",,"02/11/99 00:00:00","11/07/01 16:44:37","DataEase","fishec50"
179,"T.B at Brookfield","Brookfield has had TB in the herd in: 1994, 1998, 2003,","02/11/99 00:00:00","02/24/11 17:54:12","DataEase","fishec50"
180,"The Bull V The Cat And Fiddle",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
183,"The Estate",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
184,"Hassett Room",,"02/11/99 00:00:00","04/15/02 14:25:37","DataEase","fishec50"
185,"Production - Isabella: An Orphan Jilted","Lower Loxley Film","02/11/99 00:00:00","07/22/10 10:37:19","DataEase","fishec50"
187,"Vicar for  Ambridge",,"02/11/99 00:00:00","05/27/03 17:15:22","DataEase","fishec50"
188,"Tony in the caravan",,"02/11/99 00:00:00","04/13/12 11:12:12","DataEase","fishec50"
189,"Town Twinning",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
190,"Traffic",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
191,"Travellers At Grange Farm",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
192,"Tree Planting",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
194,"Turkey War",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
195,"Uncle Tom On The Move",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
196,"Usha And Richard",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
197,"Usha Change Of Address",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
198,"Village Fete",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
199,"Village Shop",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
200,"Village Shop Raid",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
201,"House swap at Ambridge Hall",,"02/11/99 00:00:00","10/18/10 12:10:21","DataEase","fishec50"
202,"VE Day",,"02/11/99 00:00:00","10/04/99 17:01:45","DataEase","fishec50"
203,"Who Runs Brookfield?",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
204,"William's Menagerie",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
205,"Wine Bar Refurbishment",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
206,"Woodside Farm",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
207,"Borchester Land","From March 2006: Borchester Land own The Country park and The Golf course.
2009 Problems with Matt and Chalkman see: Matt and Chalkman's financial problems

6/5/09 Brian is appointed chair.
12/5/09 Matt resigns from the board of Borchester Land
Board members 2010
Brian Aldridge
Andrew Smith
Gerry Morton
Annabelle Schrivener
Andrew Eagleton

On 14th April ’09 mention of someone called Barbara but no details
March 2011 Andrew Smith resigns","02/12/99 15:36:17","07/11/11 11:09:58","fishec50","fishec50"
208,"Clarrie's washing machine",,"02/12/99 16:53:43","02/12/99 16:53:44","fishec50","fishec50"
209,"Cushion cover scam",,"02/12/99 17:03:48","02/12/99 17:03:48","fishec50","fishec50"
210,"Kathy's work",,"02/18/99 16:53:08","02/18/99 16:53:09","fishec50","fishec50"
212,"Helen's return to Ambridge",,"02/23/99 14:52:59","07/16/13 16:47:46","fishec50","fishec50"
213,"Carl the new Keeper at Grey Gables",,"02/24/99 10:41:37","02/24/99 10:41:37","fishec50","fishec50"
214,"Pat's health as a result of John’s death",,"02/24/99 12:54:31","10/06/11 15:40:42","fishec50","fishec50"
215,"Comic Relief",,"02/24/99 12:57:02","05/04/06 12:26:43","fishec50","fishec50"
217,"William wants to be a gamekeeper",,"02/24/99 14:30:52","02/24/99 14:30:53","fishec50","fishec50"
218,"Blossom Hill Gang",,"03/03/99 14:35:58","03/03/99 14:35:58","fishec50","fishec50"
219,"Production - Tickety Boo",,"03/03/99 17:02:20","08/27/03 15:58:21","fishec50","fishec50"
220,"Brian's Epilepsy",,"03/04/99 12:25:34","03/04/99 12:25:35","fishec50","fishec50"
221,"Village Hall refurbishment",,"03/04/99 12:36:17","03/04/99 12:36:18","fishec50","fishec50"
222,"Elizabeth's abortion","On 16/3/92 Elizabeth did a pregnancy test, which turned out to be positive, Debbie who was with her at the time, didn’t know what to say.  
She  suffered from morning sickness and needed time off work.  The smell of stale flower water made her feel queasy and she took to drinking tea, not something she normally did.  Jill became suspicious. Jill asked Elizabeth if she was pregnant and she had to admit she was, but she swore Jill to secrecy at least until she had had time to tell Cameron. 23/3/92 Because of Jill’s insistence Liz tells Phil. He tells her that she doesn’t have to marry ""that man"" if she doesn’t want to.  He even offers to tell Cameron himself, but no, she wants to do it. On 26/3/92 Elizabeth tells Cameron, without asking her what she wanted to do he offers to pay for her to have an abortion.  Liz is very upset she had wanted him to be happy. She tells him she is going to keep the baby. Because of the sickness Lizzie tells Nigel about the baby on 30/3/92 he is supportive and starts to talk about maternity leave. She begins to see that her future is not as rosy as she had always assumed it would be.  The following week she tells David and Ruth. David is not understanding and tells her that she has been very irresponsible, and how are Jill and Phil going to feel if their first grandchild is illegitimate.  Cameron tries to tell her more about his financial difficulties but she claims she has faith in him. The family are putting off telling Shula, because of all the problems she is having in getting pregnant.  It’s Cameron who lets the cat out of the bag, assuming Shula already knows.  She is upset that the family felt she couldn’t cope.Liz and Cameron make plans to go away together and she decides not to tell her parents until she is at the airport.  On the way to the airport Cameron abandons her. On 11/5/92 Elizabeth went into Birmingham alone and had her baby aborted.  She was about 14 weeks pregnant.  Cameron still doesn’t know that Elizabeth had an abortion.","03/10/99 16:39:23","03/10/99 17:45:36","fishec50","fishec50"
223,"Mother's Day",,"03/29/99 15:30:40","03/29/99 15:30:40","fishec50","fishec50"
224,"Cooking","Hints and tips about cooking in The Archers","03/29/99 15:37:58","03/29/99 15:37:58","fishec50","fishec50"
225,"Beekeeping",,"03/29/99 16:48:01","01/09/09 10:28:20","fishec50","fishec50"
226,"New Doctor",,"03/29/99 17:26:06","03/29/99 17:26:07","fishec50","fishec50"
227,"Production - Christmas Revue - 1982","Christmas Revue takes Place on 22/12/82 - Eddie Grundy and his group sing both sides of his record. Joe Grundy tell a ghost story: ""The terrible tale of Chicken Charlie"" George gives a monologue. Brian is compere. Caroline and Julie sing ""Morning Promenade"" Jack does a joke routine. George, Jack and Brian sing ""The Great Big Saw"". Tom Eddie George, Jack and Joe sing ""Ale"". Julie recites ""Innocent's song"" by Charles Causley. Caroline recites ""Christmas"" by Betjeman. Tom sings ""Jim the Carter's lad"", ""The Bellringers"" and ""The Village pump""   Borchester Choir sing carols. Peggy, Mrs P help with the WI teas. Clarrie didn't go.","03/31/99 16:55:47","12/08/06 16:21:48","fishec50","fishec50"
229,"Parish Council","Elections for the Parish Council should happen every four years:
1983 - 1987 - 1991 - 1995 - 1999 - 2003 -  2007 - 2011 due 2015","04/01/99 15:53:13","01/10/12 12:08:40","fishec50","fishec50"
230,"PCC - Parochial Church Council","2005
Chair Alan
Church Wardens Shula and Bert
Committee: Christine, Jill, Susan and Jean Harvey

1999
Chair Janet Fisher
Church Wardens Shula and Bert
Committee Chris Jean Harvey Jill Marjorie","04/01/99 16:01:33","11/16/05 14:29:50","fishec50","fishec50"
231,"Debbie and Simon Gerrard","In 1991 a stranger appeared in Ambridge looking for Debbie. He was a fortish Canadian widower, a visiting lecturer whom she met at University,  they had an affair and he wanted her to return to Canadian with her","04/01/99 16:20:42","04/01/99 16:23:23","fishec50","fishec50"
232,"Production - Importance Of Being Earnest","Ambridge April 1990
Organised By Elizabeth and Lynda.  A Lynda Snell Production
Lane\Merriman - Bert Fry
Jack Worthing -Nelson
Lady Bracknel - Marjorie
Algernon - Mark
Rev. Canon Chasuble - Jack
Miss Prism - Peggy Archer
Gwendolyn - Shula
Cecily Cardew - Kathy
Bert had to play two parts indicating which he was by a change of jacket, he got quite confused.  Dave Berry dropped  out and Nelson had to take his place.  Kathy and Dave were in the middle of their fling. Lynda gets a migraine. Nelson dyed his hair to look younger and it looks hilarious.  The dress rehearsal is a disaster as was the first night.  Kathy did better than the others.  Jennifer did the review in The Echo.","04/01/99 17:27:48","08/27/03 15:56:32","fishec50","fishec50"
233,"Lower Loxley Toy museum","There are a least three teddy bears: Growler; probably the oldest  born 1910. Monty and Nigel’s favourite Tiddles who has new eyes. 
Mickey the Monkey
A full size Rocking Horse called Dobbin
Dolls (Camilla’s)
Punch and Judy show ""the full kit""
Toy soldiers","04/06/99 12:06:44","04/06/99 14:55:25","fishec50","fishec50"
