Ref,Character,Occupation,JobFrom,CDate,UDate,CName,UName
141,210,126,,,,DataEase,DataEase
142,211,85,,,,DataEase,DataEase
143,213,66,,,,DataEase,DataEase
144,215,61,,,,DataEase,DataEase
145,217,47,,,,DataEase,DataEase
146,220,125,,,,DataEase,DataEase
147,223,85,,,,DataEase,DataEase
148,224,150,,,,DataEase,DataEase
149,228,74,,,,DataEase,DataEase
150,229,117,,,,DataEase,DataEase
151,230,1,,,,DataEase,DataEase
152,232,82,,,,DataEase,DataEase
153,233,120,,,,DataEase,DataEase
154,234,20,,,,DataEase,DataEase
155,235,116,,,,DataEase,DataEase
156,236,93,,,,DataEase,DataEase
157,238,38,,,,DataEase,DataEase
158,241,79,,,,DataEase,DataEase
159,242,50,,,,DataEase,DataEase
160,243,76,,,,DataEase,DataEase
161,244,13,,,,DataEase,DataEase
162,245,78,,,,DataEase,DataEase
163,247,142,,,,DataEase,DataEase
164,248,66,,,,DataEase,DataEase
165,249,65,,,11/27/03 11:08:52,DataEase,fishec50
166,250,155,,,,DataEase,DataEase
167,252,98,,,,DataEase,DataEase
168,254,173,,,,DataEase,DataEase
169,255,159,,,,DataEase,DataEase
170,256,103,,,,DataEase,DataEase
171,257,49,,,,DataEase,DataEase
172,259,86,,,,DataEase,DataEase
173,260,50,,,,DataEase,DataEase
174,262,161,,,,DataEase,DataEase
175,263,154,,,,DataEase,DataEase
176,264,117,,,,DataEase,DataEase
177,265,164,,,,DataEase,DataEase
178,267,6,,,,DataEase,DataEase
179,268,66,,,,DataEase,DataEase
180,270,66,,,,DataEase,DataEase
181,271,129,,,,DataEase,DataEase
182,273,66,,,,DataEase,DataEase
183,284,9,,,,DataEase,DataEase
184,290,9,,,,DataEase,DataEase
185,291,65,,,,DataEase,DataEase
186,297,165,,,,DataEase,DataEase
187,301,117,,,,DataEase,DataEase
188,304,130,,,,DataEase,DataEase
189,306,75,,,,DataEase,DataEase
190,311,9,,,,DataEase,DataEase
191,312,109,,,,DataEase,DataEase
192,313,87,,,,DataEase,DataEase
193,314,9,,,,DataEase,DataEase
194,316,17,,,,DataEase,DataEase
195,318,9,,,,DataEase,DataEase
196,319,46,,,,DataEase,DataEase
197,320,65,,,,DataEase,DataEase
198,321,20,,,,DataEase,DataEase
199,322,111,,,,DataEase,DataEase
200,323,9,,,,DataEase,DataEase
201,324,111,,,,DataEase,DataEase
202,325,111,,,,DataEase,DataEase
203,328,121,,,,DataEase,DataEase
204,329,9,,,,DataEase,DataEase
205,330,127,,,,DataEase,DataEase
206,331,19,,,,DataEase,DataEase
207,332,140,,,,DataEase,DataEase
208,333,9,,,,DataEase,DataEase
209,334,9,,,,DataEase,DataEase
210,335,134,,,,DataEase,DataEase
211,336,65,,,,DataEase,DataEase
212,337,138,,,,DataEase,DataEase
213,338,56,,,,DataEase,DataEase
214,339,64,,,,DataEase,DataEase
215,344,43,,,,DataEase,DataEase
216,345,9,,,,DataEase,DataEase
217,352,157,,,,DataEase,DataEase
218,353,157,,,,DataEase,DataEase
219,355,31,,,,DataEase,DataEase
220,359,152,,,,DataEase,DataEase
221,361,67,,,,DataEase,DataEase
222,362,16,,,,DataEase,DataEase
223,363,169,,,,DataEase,DataEase
224,364,2,,,,DataEase,DataEase
225,366,166,,,,DataEase,DataEase
226,367,152,,,,DataEase,DataEase
227,368,151,,,,DataEase,DataEase
228,372,53,,,,DataEase,DataEase
229,374,87,,,,DataEase,DataEase
230,375,113,,,,DataEase,DataEase
231,377,14,,,,DataEase,DataEase
232,378,24,,,,DataEase,DataEase
233,381,85,,,,DataEase,DataEase
235,387,87,,,,DataEase,DataEase
236,389,150,,,,DataEase,DataEase
237,390,146,,,,DataEase,DataEase
238,392,108,,,,DataEase,DataEase
239,399,150,,,,DataEase,DataEase
240,400,87,,,,DataEase,DataEase
241,401,66,,,,DataEase,DataEase
242,403,85,,,,DataEase,DataEase
243,404,66,,,,DataEase,DataEase
244,405,143,,,,DataEase,DataEase
245,406,118,,,,DataEase,DataEase
246,408,3,,,,DataEase,DataEase
247,409,85,,,,DataEase,DataEase
248,410,8,,,,DataEase,DataEase
249,412,166,,,,DataEase,DataEase
250,413,127,,,,DataEase,DataEase
251,417,9,,,,DataEase,DataEase
252,418,166,,,,DataEase,DataEase
253,419,9,,,,DataEase,DataEase
254,420,127,,,,DataEase,DataEase
255,421,9,,,,DataEase,DataEase
256,422,9,,,,DataEase,DataEase
257,423,134,,,,DataEase,DataEase
258,426,145,,,,DataEase,DataEase
259,429,9,,,,DataEase,DataEase
260,431,27,,,,DataEase,DataEase
261,433,135,,,,DataEase,DataEase
262,434,71,,,,DataEase,DataEase
263,435,9,,,,DataEase,DataEase
264,436,87,,,,DataEase,DataEase
265,437,90,,,,DataEase,DataEase
266,438,12,,,,DataEase,DataEase
267,439,9,,,,DataEase,DataEase
268,440,89,,,,DataEase,DataEase
269,441,166,,,,DataEase,DataEase
270,444,127,,,,DataEase,DataEase
271,449,26,,,,DataEase,DataEase
272,450,19,,,,DataEase,DataEase
273,451,9,,,,DataEase,DataEase
274,452,127,,,,DataEase,DataEase
275,453,165,,,,DataEase,DataEase
276,454,156,,,,DataEase,DataEase
277,455,96,,,,DataEase,DataEase
278,457,150,,,,DataEase,DataEase
279,458,65,,,,DataEase,DataEase
280,459,97,,,,DataEase,DataEase
281,465,150,,,,DataEase,DataEase
282,466,100,,,,DataEase,DataEase
283,470,14,,,,DataEase,DataEase
284,471,87,,,,DataEase,DataEase
285,472,66,,,,DataEase,DataEase
286,473,44,,,,DataEase,DataEase
287,479,18,,,,DataEase,DataEase
288,481,119,,,,DataEase,DataEase
289,483,66,,,,DataEase,DataEase
290,485,54,,,,DataEase,DataEase
291,486,9,,,,DataEase,DataEase
292,490,117,,,,DataEase,DataEase
293,491,9,,,,DataEase,DataEase
294,493,80,,,,DataEase,DataEase
295,495,73,,,,DataEase,DataEase
296,497,9,,,,DataEase,DataEase
298,502,66,,,,DataEase,DataEase
299,503,104,,,,DataEase,DataEase
300,504,65,,,,DataEase,DataEase
301,505,24,,,,DataEase,DataEase
302,515,115,,,,DataEase,DataEase
303,517,122,,,,DataEase,DataEase
304,519,66,,,,DataEase,DataEase
305,520,73,,,,DataEase,DataEase
318,646,176,03/09/1999 00:00,03/19/99 16:02:48,07/02/1999 12:59,fishec50,fishec50
319,653,174,,04/15/99 16:55:21,04/15/99 16:55:21,fishec50,fishec50
320,655,175,,05/12/1999 17:01,05/12/1999 17:01,fishec50,fishec50
321,657,106,,05/14/99 17:25:18,05/14/99 17:25:18,fishec50,fishec50
322,658,152,,06/21/99 15:55:15,06/21/99 15:55:15,fishec50,fishec50
323,591,177,04/18/68 00:00:00,07/07/1999 13:05,07/07/1999 13:07,fishec50,fishec50
324,664,150,,08/13/99 16:34:57,08/13/99 16:34:58,fishec50,fishec50
325,346,106,,08/17/99 12:20:53,08/17/99 12:20:53,fishec50,fishec50
326,,178,,08/20/99 10:17:27,08/20/99 10:17:27,fishec50,fishec50
327,665,150,06/29/99 00:00:00,08/20/99 10:23:17,08/20/99 10:23:39,fishec50,fishec50
328,670,179,,10/21/99 16:34:21,10/21/99 16:34:21,FISHEC50,FISHEC50
329,672,179,10/25/99 00:00:00,11/08/1999 10:21,11/08/1999 10:21,FISHEC50,FISHEC50
331,674,180,,11/08/1999 10:40,11/08/1999 10:40,FISHEC50,FISHEC50
332,675,181,,11/08/1999 11:04,11/08/1999 11:04,FISHEC50,FISHEC50
333,676,182,,11/08/1999 11:11,11/08/1999 11:11,FISHEC50,FISHEC50
334,678,66,,12/13/99 11:45:23,12/13/99 11:45:24,fishec50,fishec50
335,272,87,,02/08/2000 12:05,02/08/2000 12:05,fishec50,fishec50
336,683,183,,02/15/00 17:26:29,02/15/00 17:26:29,fishec50,fishec50
337,685,9,,03/08/2000 15:35,03/08/2000 15:35,fishec50,fishec50
338,688,9,,03/16/00 12:36:58,03/16/00 12:36:59,fishec50,fishec50
339,692,180,,03/20/00 11:19:06,03/20/00 11:19:06,fishec50,fishec50
340,693,2,,03/20/00 17:11:03,03/20/00 17:11:03,fishec50,fishec50
341,720,9,,01/19/01 14:53:22,01/19/01 14:53:22,fishec50,fishec50
342,715,179,10/25/99 00:00:00,01/22/01 16:07:57,01/22/01 16:07:58,fishec50,fishec50
343,728,9,,03/07/2001 14:24,03/07/2001 14:24,fishec50,fishec50
344,727,93,,03/13/01 10:40:38,03/13/01 10:40:38,fishec50,fishec50
345,738,9,,05/04/2001 10:15,05/04/2001 10:15,fishec50,fishec50
346,740,176,04/23/01 00:00:00,06/05/2001 16:38,06/05/2001 16:38,fishec50,fishec50
347,755,93,,10/08/2001 16:48,10/08/2001 16:48,fishec50,fishec50
348,756,9,,10/08/2001 17:08,10/08/2001 17:08,fishec50,fishec50
349,765,178,10/05/2001 00:00,11/06/2001 11:20,11/06/2001 11:20,fishec50,fishec50
350,778,9,,03/12/2002 13:51,03/12/2002 13:51,fishec50,fishec50
351,801,71,,10/11/2002 15:31,10/11/2002 15:31,fishec50,fishec50
352,814,138,,02/24/03 11:02:24,02/24/03 11:02:25,fishec50,fishec50
353,155,152,,02/26/03 10:22:02,02/26/03 10:22:02,fishec50,fishec50
354,848,9,,09/01/2003 16:09,09/01/2003 16:09,fishec50,fishec50
355,870,176,,02/27/04 12:44:53,02/27/04 12:44:53,fishec50,fishec50
356,80,73,08/26/04 00:00:00,10/20/04 16:35:26,10/20/04 16:35:26,fishec50,fishec50
357,939,102,03/21/05 00:00:00,04/22/05 14:37:00,04/22/05 14:37:00,fishec50,fishec50
358,949,165,,06/08/2005 10:42,06/08/2005 10:43,fishec50,fishec50
359,700,23,,07/05/2005 10:34,07/05/2005 10:34,fishec50,fishec50
360,45,184,04/25/06 00:00:00,08/23/06 15:18:58,08/23/06 15:19:43,fishec50,fishec50
361,1185,150,,06/01/2009 16:22,06/01/2009 16:23,fishec50,fishec50
362,1222,166,,02/11/2010 10:20,02/11/2010 10:20,fishec50,fishec50
363,,166,,03/28/12 15:40:48,03/28/12 15:40:48,wards50,wards50
364,1407,117,07/18/13 00:00:00,06/19/13 11:10:06,06/19/13 11:10:06,SmithA49,SmithA49
365,1408,,07/23/13 00:00:00,06/19/13 11:13:30,06/19/13 11:13:30,SmithA49,SmithA49
366,1409,127,07/23/13 00:00:00,06/19/13 11:14:43,06/19/13 11:14:43,SmithA49,SmithA49
367,1410,,07/23/13 00:00:00,06/19/13 11:17:23,06/19/13 11:17:23,SmithA49,SmithA49
368,1421,127,07/11/2013 00:00,06/19/13 11:46:29,06/19/13 11:46:29,SmithA49,SmithA49
