05-Aug-14,8,Sea Front/ Zig Zag path,Kitty tells Dieter she is pregnant. Dieter is happy.  Dieter wants to talk to Albert. Kitty says he should talk to him after he has registered. ,"Kitty, Dieter"
06-Aug-14,1,Vicarage,Hillary goes to see Ralph. Ralph is not there but Dorothea is. He says he will come back another time and then he changes his mind. Asks her if she would be prepared to have a Belgian refugee live in her house. She is surprised by the question but it leads to a much bigger discussion about what needs to be done. That there will be people coming who will be in great need. Great need of everything. Dorothea offers her assistance. Offers the vicarage as a kind of HQ.  ,"Hillary, Dorothea"
06-Aug-14,2,Grand Hotel,After some discussion Dieter and Frederick decide to register as Swiss. ,"Dieter, Frederick"
06-Aug-14,3,Wilson household.,Adam has an epileptic fit. Florrie has no idea what is happening and is quite terrified. Adam doesn't remember what happened. When Florrie tries to explain it Adam decides  the fit must be something to do with God. Florrie runs next door/across the road and asks a neighbour ‚s daughter  Jessie to go and fetch the doctor.,"Adam, Florrie, Jessie"
06-Aug-14,4,High Street,We run through the town with Jessie who tells anyone that she meets that the boy who was hit by lightning has been shaking like a leaf. ,Jessie
06-Aug-14,5,Vicarage,Ralph returns home and is amazed to see Hillary and Dorothea writing lists. Making plans. ,"Ralph, Hillary, Dorothea"
06-Aug-14,6,Sea Front,Dieter tells Kitty he has decided to register as Swiss. Kitty wonders if this will be work. He wants to stay in Folkestone. Stay working at the hotel. Stay near Kitty. ,"Dieter, Kitty"
07-Aug-14,1,Wilson Household. Breakfast.,Albert asks Kitty if Dieter has registered. Kitty says he is going there today. Albert asks why he's taken so long to get around to it? ,"Albert, Kitty"
07-Aug-14,2,Police Station.,Frederick is arrested trying to register as Swiss.,Frederick
07-Aug-14,3,Wilson Household,Jessie calls at the house. Asking if she can see Adam. Florrie tells her that Adam needs to rest. Adam says he doesn't need to rest. He is bored. Bored of staying in bed. Florrie says it's doctor's orders. She doesn't want him to start shaking again.,"Jessie, Adam, Florrie"
07-Aug-14,4,Photography Shop,A panicky Dieter tells Kitty that Frederick has been arrested. That he doesn't want to register as German and be sent away.  Especially if this will all be over by Christmas. He wants to be near her. he needs to go into hiding. Kitty says she can hide him in the photography shop. That he should go and get his things and come back when the shop is closed. She will wait for him.,"Dieter, Kitty"
07-Aug-14,5,,Dieter returns to the hotel. Gathers his things. Then writes Albert a letter. Asking for Kitty's hand in marriage.,Dieter
08-Aug-14,1,Wilson household,Albert receives a letter asking for Kitty's hand in marriage. Albert asks Kitty about the letter. Kitty knew nothing about the letter.  Kitty says that Dieter means can he marry her when the war is over. Not now. Not yet. Obviously. Kitty lies that Dieter has registered as an alien and has already been taken off by the Chief Constable.,"Albert, Kitty"
08-Aug-14,2,Photography Shop,At the photography shop Kitty has to cover for the fact that Dieter is hiding in a cupboard. She has to work quite hard to make sure that no one else goes goes to the cupboard except her. ,"Kitty, Dieter"
08-Aug-14,3,Wilson Household,Jessie knocks on the door again. Can  she see Adam now?  Florrie lets her in. ,"Jessie, Florrie, Adam"
08-Aug-14,3,,Jessie wants to know what it's like being in a coma. Adam says it's mainly black with some fuzzy grey patches.  Jessie tells Adam that Miss Graham was spinned about like a top when the lightning struck her umbrella.  Adam says he thinks the lightening was a punishment from God. Jessie wants to know why God would want to punish Adam and the Vicar and Miss Graham and Sam too? Adam says he doesn't know but there must be a reason. The last thing Jessie tells Adam before she leaves is that while he was in a coma a war has broken out. And this is when it dawns on him. What he's being punished for. He's being punished for starting a war . . . And he prays to God. That he's sorry for starting the war. How he didn't mean to do it. And could God make Sam alive again. Like Jesus. Can God do that?,
11-Aug-14,1,Int. Town Hall. Morning. ,As Isabel serves tea/coffee and cake (from Moores) Gabriel cites items on the agenda including difficulties with less trains/the beauty contest/ How Dover are coping in general andÑ top of the agenda how to make sure tourists numbers don't completely dry up. Hillary is very much across this.,"Isabel, Gabriel, Hillary"
11-Aug-14,2,Int. Frost's Photo-Shop. Morning. ,"Kitty arrives in with breakfast items for Dieter. The look at their options. Dieter can't hide here for long. Should they tell Sidney and Lillian Dieter is here? Best not to, not unless they have to. They decide to run away togetherÑ London, where they will be unknown?","Kitty, Dieter"
11-Aug-14,3,Int. Town Hall. Morning. ,"Hillary has agreed to oversee aspects effecting tourism. But it has become clear things need to be organized on a bigger scale. To this end it is agreed a public meeting is needed to get ‚all hands on deck' from the community, so to speak. Hillary thinks he can get that meeting organized for Wednesday.","Hillary, Gabriel"
11-Aug-14,4,Ext. Busy Streets. Late Morning.,Jessie meets up with Adam who confides in her that he keeps having dreams about SamÑ it's as if Sam is trying to tell him something but he doesn't know what. Jessie comments on how bruises on his arm aren't clearing up.,"Jessie, Adam"
11-Aug-14,5,Int. Frost's Photo-shop. Early Afternoon.,Dieter tells Kitty he is going to go to his lodgings to collect some of his things but especially some money he has saved and they will need. Kitty is concerned he'll be spotted but he assures her he will be careful and goes.,"Dieter, Kitty"
11-Aug-14,6,Ext. Streets. Early afternoon.,"Isabel, running an errand for Gabriel, runs into Ralph and compliments him on this morning's sermon. He thanks her and we have a conversation about the challenging times we are in re various extra demands of the war (sub-textÑ ‚How/when will they get a chance to meet in private again?')","Ralph, Isabel"
11-Aug-14,7,Int/Ext. Shop/Street Early Afternoon.,"As they come out of the grain shop (having only been allowed half the amount Albert wanted for his pigeons) there is a march-by of soldiers. Jessie is excited by it all, Adam fearful. Adam tells Jessie he is praying for all he's worth to God to stop the war and he knows God will because God always answers peoples' prayers. Jessie is dubious.","Adam, Jessie"
11-Aug-14,8,Int. Frost's Photo-shop. Late Afternoon.,"Dieter returns and tells Kitty it was not safe for him to go into his lodgings, too many people around. But they need to get some money! Kitty agrees she'll take a chance early in the morning and see if she has any better luck getting his things without arousing anybody's suspicion. Dieter points out without that money they are in big trouble.","Dieter, Kitty"
12-Aug-14,1,Ext. The Leas. Morning.,Dieter and Kitty make their way towards Dieter's lodgings to fetch some of his things especially his money. Dieter gives Kitty his key and tells her if the landlady is there to just say she needs to fetch a book she loaned him. Nervously Kitty heads off. They will meet later as Dieter can't hang around looking suspicious.,"Dieter, Kitty"
12-Aug-14,2,Int. Gabriel's. Late Morning.,"Dorothea has called to see Gabriel saying Hillary suggested she should. They agree it's impossible to predict how bad things will get for Belgians, but no harm to be prepared. Dorothea suggests trying to locate Belgians who already live in Folkestone. Gabriel thinks this an excellent idea. Isabel enters and finds herself volunteered by Gabriel to ‚get involved' in this. Reluctantly Isabel agrees.","Dorothea, Isabel, Gabriel"
12-Aug-14,3,Int. Frost's Photo-Shop. Around Lunchtime.,Victor enters and is served by Kitty who explains the procedure and the price etc ,"Kitty, Victor"
12-Aug-14,4,Ext. Town Hall. Early afternoon.,"As Ralph passes Isabel comes out of the Hall and tells him about Dorothea calling over and the meeting with Gabriel. Ralph is taken-aback. He didn't think Dorothea would really follow up on this. It's so unlike her. Once again, they ‚touch' on the vexed question of how/where they can meet. He mentions a time he will be at the vestry later.","Ralph, Isabel"
12-Aug-14,5,Ext. The Beach. Early Afternoon.,Kitty meets Dieter and tells him she ran straight into Norman at Dieter's lodgings earlier on but talked her way out by saying she was looking for Dieter too. Kitty & Dieter are both concerned. What will they do now? The mood is lifted by the arrival of a large phalanx of soldiers arriving to exercise in the water (re Carlile Book). Kitty spots Victor among them and we may have him spot her?,"Dieter, Kitty, Victor"
12-Aug-14,6,Int. Vicarage. Late Afternoon.,Ralph questions Dorothea if she is sure she is up to doing this voluntary work. She insists she is. ,"Ralph, Dorothea"
12-Aug-14,7,Int. Photo-Shop. Late Afternoon.,Kitty and Dieter are alone in the shop as Sidney and Lillian are out. Kitty says she's going to tell Lillian about Dieter. Dieter isn't sure it's a good idea. What if they report him? Kitty thinks they can take that risk.,"Dieter, Kitty"
12-Aug-14,8,Int. Vestry. Early Evening.,Ralph greets Isabel. They kiss. Isabel mentions how ‚uncomfortable' she felt in Dorothea's presence today. Ralph admits he likewise feels bad. As they kiss again they hear a noiseÑ someone in the church? It is Adam (my God they can't be caught again by the same boy!)  Isabel exits quietly by another door.,"Ralph, Isabel, Adam"
12-Aug-14,8,,"Adam questions Ralph about prayers and why God is not answering his and stopping the war, if anything things are getting worse? Dissatisfied with Ralph's answers Adam leaves.",
13-Aug-14,1,Ext. Near Frost's Photo-Shop. Morning,On an errand from the photo-shop Kitty meets with Dieter. The good news is Lillian and Sidney are ok with Dieter staying in shop at night but only for this week. They were in good form over some work they've been offered doing tourist photos for the papers. She's also looked up train times and the next one to London isn't until tomorrow. But they still have a problem regarding funds? ,"Dieter, Kitty"
13-Aug-14,2,Ext. Train/Harbour Area. Morning,Adam approaches a busy Jack who is not happy to see him here. Adam says he wants to help. Jack warns him to be careful and gets him to help with a small job. Jack jokes that Albert was here earlier giving out about a backlog of trains that can't get in or out of the stationÑ Whoever's in charge hasn't a clue! This war is going to be the ruin of everybody! ,"Adam, Jack"
13-Aug-14,3,Int. Frost's Photo-Shop. Morning,"Victor arrives for his appointment to have his portrait done. Kitty tells him her bosses are looking for a model for a photo-shoot if he's interested. Victor is shy about doing the modeling work till he realizes Kitty would be with him. They will have it organized for tomorrow. Victor mentions a beauty contest his mates are pushing him to enter later in the afternoon but thinks he'll give it a miss. When Kitty says she'll be there as her boss will probably be taking photos, Victor says he may enter the competition afterall... There is a really good cash prize (how much?).","Victor, Kitty"
13-Aug-14,4,Int. Town Hall. Mid-Day.,"The public meeting is already up and running. Time for a break. Hillary reiterates where things are at, very much congratulating the people of Folkestone he sums up some of what they have covered such asÑ French Protestant Church over-seeing the Belgian situation, the formation of committees for the wounded, wives of soldiers, relief funds, Lillian and Sidney to do a tourist shoot for the papers.. etc Isabel tells Hillary she has to rush away, will he see to Gabriel getting home? Curious about her hurry but not making an issue of it, he assures her all is in hand.","Hillary, Isabel"
13-Aug-14,5,Ext. On The Pier. Late afternoon.,Music and sounds of folk enjoying the festivities. ,"Jack, Adam, Victor, Kitty"
13-Aug-14,5,,Jack finds Adam and wants to know where he disappeared to today. Adam is angry/puzzled/confused about the war why it is happening and especially why things are getting worse. Adam tries to give his version of itÑ some Duke was shot by some terrorists. ,
13-Aug-14,5,,Applause heard ending as we join Victor being congratulated by Kitty for his winning the beauty competition. Kitty wishes aloud she could win money like that. Victor picks up on how desperate Kitty needs the money. As he goes to collect his winnings Kitty slips away.,
13-Aug-14,5,,We return to Jack and Adam. Adam asks if he knows who the terrorists who started the war areÑ Jack says they're called something like theÑ Black Hand Terrorists.,
13-Aug-14,6,Ext. Overlooking the Pier. Late Afternoon.,"The music and sounds of festivities carry up from the pier below as Isabel and Ralph meet up. Ralph comments to Isabel how taken-aback he is at Dorothea. It's almost like she's starting to be her old self again. It's like some kind of miraculous transformation. Isabel is thrown by all this sudden positivity towards his wife, makes her excuses and moves away. Ralph suddenly realizes what has happened and calls after her, but it is too late as a marching band crosses between them. Hillary happens along and asks if that was Isabel he saw just now? Ralph confirms it was and can't help sounding guilty. Hillary simply comments on what a fine woman she is. Ralph has to agree.","Isabel, Ralph, Hillary"
14-Aug-14,1,Int/Ext. Busy Hallway Out Onto Street of Wilson's Home. Morning.,"Adam is witness to some Austro-Hungarian families from same and neighbouring buildings loading their belongings onto carts to take to the harbour. Upset Adam wants to help, Jack discourages him and get Adam to accompany him on his way to work as far as the station/harbour. He might get him to do some work again.","Adam, Jack"
14-Aug-14,2,Ext. On Route to Frost's Photo-Shop. Morning,"Kitty meets Victor who says how disappointed he was she left so soon after beauty contest. She apologizes. He quickly hands her his winnings from the beauty contest, says he wants her to have it and moves away saying he'll see her later for the photo-shoot. ","Kitty, Victor"
14-Aug-14,3,Ext. French Protestant Church. Morning,"Ralph catches Isabel as she exits the church. She confirms that Dorothea decided not to accompany her. Ralph points out that, much as it pains him to say this, his wife was never really going to get seriously involved in anything as demanding as this refugee work. Isabel agrees that seems to be the case and confesses feeling a little sorry for her.","Ralph, Isabel"
14-Aug-14,4,Int. Frost's Photo-Shop. Morning,Kitty arrives in excited to tell Dieter she has got some money and they can catch the London train this evening afterall! She will have to slip away as soon as the photo-shoot is done and meet Dieter outside the station/harbour.,"Kitty, Dieter"
14-Aug-14,5,Ext. Station/Harbour. Mid-Day.,Jack tells Adam is still around for the rest of the day and tells him to go. The word is there's going to be trouble when Austrian reservists arrive at the harbour soon and try to board a boat. Adam doesn't want to go.,"Jack, Adam"
14-Aug-14,6,Ext. The Beach. Afternoon.,The photo-shoot finishes up with a final close-up shot of Victor and Kitty holding hands strolling along the edge of the sea. Kitty says Lillian seems very happy with her days work and she thanks Victor for the money he gave her yesterday. He is happy for her to have it. Kitty is allowed go early as she says she is not feeling too well. Victor offers to go with her but she insists she can manage and rushes off.,"Victor, Kitty, Lillian"
14-Aug-14,7,Ext. Harbour/Station. Afternoon.,"Things have heated up at the harbour/station with unruly gatherings of people wanting to board boats and others trying to prevent them. Local police are on hand, including Norman who tells Jack there are some soldiers on the way to sort all this out.","Norman, Jack, Kitty, Dieter, Adam"
14-Aug-14,7,,Kitty arrives out of breath and meets up with Dieter. He has the tickets and the train will be leaving any minute. They are alarmed at the commotion around the station. They decide to take a chance and push through the crowd towards their train.,
14-Aug-14,7,,"Dieter and Kitty spot Norman and make there way carefully towards the platform. Kitty sees Adam getting knocked over/passing out in the crush. Kitty runs to Adam. Dieter has a choice, see to Adam with Kitty or catch the trainÑ he joins Kitty and Adam and takes Adam to safety. The train moves out. As Adam comes to Dieter spots Norman who is patrolling the station coming in their direction. Dieter disappears among the crowds. ",
15-Aug-14,1,Int/Ext. Busy Hallway of Adam's Home. Morning.,"Jack tells Adam Jessie was here looking to see if he is up to going on their Sunday School outing today because there's a sandcastle competition, and she thinks Adam is great at building sandcastles and will probably win like he did the last time. Adam doesn't want to go but Jack persuades him by saying he might make it along himself to watch.","Adam, Jack"
15-Aug-14,2,Ext. The Leas. Mid-Day.,"A band plays in the nearby bandstand. Norman joins Kitty. He asks if she knows anything about Dieter being at the station yesterday, because he was spotted. Kitty denies knowing anything. Norman says that's strange because he thought he saw her there as well. She lies that she went there because she knew Adam was going there and she heard there was going to be trouble. Norman doesn't buy this, but points out that, for all concerned, Dieter would be better off handing himself in. The alternative is very simpleÑ he'll be shot as a spy.","Norman, Kitty"
15-Aug-14,3,Int. Vicarage. Early Afternoon.,Isabel calls on Dorothea. Out of courtesy Isabel wants to inform Dorothea what she hopes to do next regarding the refugee preparations. Isabel comforts Dorothea who feels she is letting people down by backing out of the Belgian voluntary work. Isabel can't help liking and being concerned for Dorothea. She finds herself pushing and encouraging Dorothea to stick with it. Isabel assures Dorothea she will be there to help her at all times. Dorothea's mood brightens. Isabel has to rush off to the Sunday School outing.,"Isabel, Dorothea"
15-Aug-14,4,Int. Frost's Photo-Shop. Late Afternoon.,Victor calls to collect his photos. Kitty gives him copies of the poised photos. Comments about them looking like a real couple. Victor hints to Kitty that it would be nice for them to meet again sometime. Preoccupied Kitty is oblivious of Victor's attentions. ,"Kitty, Victor"
15-Aug-14,5,Ext. The Beach. Afternoon.,Adam completes his competition sandcastle as the whistle blows and the time is up. Isabel says the winner will be announced in a few moments. Jack has arrived on the scene and is praising Adam's work. A definite winner. Adam questions why Jack is not at work. Jack boasts there no more hauling and carrying luggage for folk as he has a new job. A real jobÑ he has signed up. Adam's mood darkens and to Jack's astonishment Adam slowly starts to destroy his castle before running off.,"Isabel, Adam, Jack"
15-Aug-14,6,Ext. A Side Street On Route To Wilson's Home. Late Afternoon.,"Dieter joins Kitty. Kitty breaks into tears, it has all been so traumatic, she didn't know what had happened to him etc. She tells him he can't go back to the shop, Sidney won't allow it. Dieter thinks it would be too dangerous to stay there much longer anyway. But Dieter thinks maybe it would be safer to stay in the Folkestone area afterall, since all exit places are being watched. Also he thinks it's a bad idea for her to be traveling in her state. But Kitty wonders what will they do, how will they manage, with no money and nowhere to stay?","Dieter, Kitty"
15-Aug-14,7,Ext. Cemetery. Late Evening.,"Jack finds Adam at Sam's grave and gives out to he has been searching for him. Adam is angry, he doesn't care, he wishes he was the one who died not Sam. Jack tells him to stop talking rubbish. Adam says none of this would have happened if it hadn't been for him (Adam). Not willing to listen to any of this, Jack goes to drag Adam back. Adam holds up his hand and says ‚See. I'm one of them, I'm one of the terrorists!' He knows because he has a black hand. Jack dismisses the black marks as the bruises they are, but Adam says Jack doesn't understand. Nobody understands... ‚It was me! I caused the war!'","Adam, Jack"
18-Aug-14,1,11am,"Adam and Jessie on Slope Street heading down toward the German Consul. There is a blare of car horn. Jessie pulls Adam back. Does he want to get himself killed like that poor paperboy yesterday? Run down on his round. Adam says it was like an act of God. Jessie puzzled _ what does Adam mean? Adam says it's what the Rev. Winwood said had happened to them on that terrible afternoon of the lightning, and now there's going to be an eclipse. Jessie asks him what that is and Adam tells her his dad said it's when the moon blots out the sun. In the old days people thought eclipse meant the end of the world, but what if it is, what if they were right? Jessie tells him she doesn't think it's going to be the end of the world, and where are we going anyway? Adam tells her he wants to see if he can see Mr. Boot. Who?","Adam, Jessie"
18-Aug-14,2,1130 am. Saint Jude's Church hall.,"Hillary visits Dorothea and thanks her for all her sterling efforts. He trusts that she will be available to attend the inaugural meeting of the Folkestone Relief Committee on Wednesday. Dorothea says she will do her best but there are so many things to organise _ food _ clothing _ shelter. She asks if Hillary has any idea how many Belgians are coming? Hillary says it's impossible to put a figure on it but it will be thousands. Town Council discussions are ongoing. At that very moment there is a loud bang. It's artillery training at Shorncliffe Camp, says Hillary. Most disquieting, says Dorothea. Hillary gives Dorothea a bit of a pep talk and ends telling her that with ladies like herself and Miss Graham _ the gallant Belgian will find succour in Folkestone.  Dorothea expresses some disquiet about Lord Kitchener's desire to open recruitment stations on Sunday. Hillary not wanting to engage with this beats a flattering retreat. ","Hillary, Dorothea"
18-Aug-14,3,1.00. Metropole Hotel.,"Kitty turns up at the Metropole ostensibly to deliver a package of photographs for one of the guests. She is trying to open a door to the cellars when Victor interrupts her. Victor asks her how she is and what's she doing at the hotel. Kitty tells him she's delivering pictures. To someone in the cellar? Kitty, caught out, tells him not to speak such nonsense. Victor asks if she will go to the show on the Prom with him on Friday afternoon? Kitty tries to get out of the question. Victor goes on about the week ahead rounding up the German citizens to deport back to Germany and the first Belgian refugees arriving soon.  What a week. Kitty goes very pale. Rounding up Germans? And good riddance, says Victor. Let Kaiser Bill deal with ‚em! Kitty, distressed, says she must get on and goes to leave the hotel. But what about the pictures, asks Victor?","Kitty, Victor"
18-Aug-14,4,1.10 outside the German Consul.,"Adam and Jessie wait Jessie wants to know what they are doing there? Adam tells her that Mr. Boot gave him the gun that started the War. He did what, asks a wide eyed Jessie. He received ten shillings to take a box to the train and give that box to man who gave him ten shillings. Jessie asks how he knows the box contained the gun that killed the Kaiser. Adam says because he wasn't to tell anyone. Not a living soul. Not if he knew what was good for him. Right at that moment a door opens onto the Consul garden","Adam, Jessie"
18-Aug-14,5,1.30 The Town Hall.,"Hillary is found speaking with Archie Tulliver whom he has manoeuvred away from a flustered Clr Graham (off screen). Tulliver wants to know what the hell is going on. First the football gets cancelled. Now the gigis. And what about the horses themselves? He doesn't think there can be a decent one left in all of England? As a bookmaker this is ruinous.. Hillary gives him a stock answer that it's all for the War effort. Tulliver won't be fobbed off. This is his livelihood and, until two weeks ago, Folkestone was a holiday resort now it's a barracks and a prohibited zone. Archie demands to be readmitted to  Clr. Graham's office right now. Hillary offers to buy him a drink.","Hillary, Tulliver"
18-Aug-14,6,1.30. The German Consul.  ,Adam and Jessie watch as Mr. Boot comes into the garden to smoke a cigarette. Jessie says that this is his chance but Adam can't go through with it. The children scarper!,"Adam, Jessie"
18-Aug-14,7,1.45 In the Prince Albert pub,"A sing song commences around a piano. Tulliver complains bitterly about the town going to the dogs. Hillary says they're doing all they can to make it business as usual in Folkestone. Tulliver is not impressed -  not only has all the gambling gone but he's got a six guest houses standing empty because the tourists have been frightened off.. Hillary, interest piqued, what houses?","Hillary, Tulliver"
18-Aug-14,8,1.50. The Street.  ,Jessie is frightened by Adam's behaviour. She doesn't like creeping around like thieves. Adam tells her it's the only way he can think of to stop the war and bring back his brother alive.,"Adam, Jessie"
18-Aug-14,9,2PM.,"Kitty gets down to the cellar. Dieter is there waiting for her. They fall into each other's arms. He's been trying to see him all day. Kitty starts to cry. She's so desperately worried about Dieter and the fate that would await him where he to be caught. Dieter, scared too, but doing his best to comfort her tries to tell her that it will all be fine and that this war will be over soon. You see if it isn't.","Kitty, Dieter"
19-Aug-14,1,12.00. On Slope Street,"Victor. Lillian passes and greets Victor who tells her that he's  overseeing a group of German citizens as they are marched down to the harbour to be deported. Let the Kaiser deal with them. Lillian covers her upset, with a desultory remark and carries on. ","Victor, Lillian"
19-Aug-14,2,12.10 In Cllr. Graham's office,"Hillary discusses the plans for the Belgian refugees. He says he's been going around Folkestone speaking with the members of the various committees. He's also looking into billeting for the refugees as well. Clr. Graham admits that this is a little overwhelming isn't it. Hillary pours Graham a drink and tells him that he's here to help relieve the Councillor's worries.  The telephone rings. Hillary says that he'll take the call. You finish your drink, Clr. You've earned it.","Hillary, Gabriel"
19-Aug-14,3,The Photographic Studio.,Kitty arrives back from an errand. Lillian is cross with her. Apparently she delivered the wrong photo yesterday. It's really not good enough. She knows that life has not been easy over the last few weeks but she needs Kitty to be professional and not make silly mistakes. They have a reputation to maintain even if the world has gone completely mad. She asks if she saw the German citizens being deported with Victor overseeing. Kitty says she did. Lillian says she feels as if the world is shifting under their feet.,"Kitty, Lillian"
19-Aug-14,4,1230,"Adam quietly speaks to Sam at the graveside as Isabel approaches. Isabel says she's so glad that he's decided to come back to Sunday School. Everyone's missed him.  Adam says he's missed them too. Isabel tries to reassure him that he can always talk to her about anything that's bothering him. She wants to help. Adam asks her if she's worried that the world might end on Friday. Isabel, a little perplexed, says she doesn't think so, and she's sorry, so sorry about Sam.  At this moment Ralph passes on his bicycle. Good mornings are exchanged. When Isabel looks back to see Adam he has run away.","Adam, Isabel, Ralph"
19-Aug-14,5,1,Hillary inspects one of the houses with Tulliver. Business is discussed. Hillary says he may have a proposition for Mr. Tulliver which would work to his advantage.,"Hillary, Tulliver"
19-Aug-14,6,1.05,"Victor, having a quick fag break, sees Kitty who lets him have it. Kitty tells him that he ought to be ashamed of himself. Victor doesn't know what she's talking about. It's not these poor people's fault that there's war on with Germany. Victor says he's got to do what he's told. He's a soldier. Kitty _ tears streaming down her face -  tells Victor she never wants to see him again and walks off in","Victor, Kitty"
19-Aug-14,7,1.1,Hillary outlines his plans to Tulliver. He'll cover the rent for the houses Tullivver owns. It'll be a fixed sum _ take it or leave it. Tulliver agrees. They shake hands.,"Hillary, Tulliver"
19-Aug-14,8,2pm.,Adam goes back to the German Consul again _ he's just about to sneak in to the  garden when he's caught by PC Stone. What does he think he's doing? Does his dad know he's sneaking about. PC Stone gives him a clout and tells him to be on his way sharpish or he'll tell his dad!,"Adam, Norman"
19-Aug-14,9,2.30. The Photographers Studio.  ,Hillary pops in to see Lillian _ he wants Sidney to come up to the Town Hall and make a portrait of Clr. Graham for  the newspaper on Friday. Lillian sends Kitty on her way to the hotel. Lillian comments that Hillary's looking very chipper. Hillary sincerely tells her that it's the feeling that comes from doing his bit. Lillian smiles and says it looks more like he's up to something. Hillary flintily dismisses her comment.,"Hillary, Lillian, Kitty"
19-Aug-14,10,3.00 The Graveyard.,"Manifestly failing to avoid one another Isabel and Ralph meet in the graveyard. They are awkward around each other. Ralph asks what she was talking to Adam about. Isabel says he mentioned something about the end of the world on Friday. Ralph says he must mean the eclipse on Friday. Did Adam say anything else? Mention them? Isabel says he ran away when we said hello. Oh, says, a whitening Ralph.","Isabel, Ralph"
20-Aug-14,1,1200. Photographers Studio.,Lillian wants to know what's got into Kitty. She's still very unresponsive and distracted _ things can't go on like this.  Kitty is saved from this line of questioning when Hillary burst in to the shop looking for Sidney. Lillian tells him he's with a client. Hillary says there isn't any time to waste the Belgian refugees are arriving.  Sidney has to come now!,"Lillian, Kitty, Hillary"
20-Aug-14,2,1215 Outside the Church Hall.,A cart is being loaded with food and provisions. Dorothea and Isabel are heading for the harbour with their emergency provisions. They are nervous but excited.,"Dorothea, Isabel"
