Ref,Storyline,MDate,Description,CDate,UDate,CName,UName
95,972,"04/12/06 00:00:00","Emma and Will receive their decree absolutes","05/22/06 16:59:17","05/22/06 16:59:17","fishec50","fishec50"
96,972,"12/06/05 00:00:00","William has George on Thursday afternoons ( unless there is a shoot). Saturday after work over night till six o’clock Sunday, and on his half day. The half day changes each week","06/05/06 11:25:54","06/05/06 11:25:54","fishec50","fishec50"
97,461,"04/25/06 00:00:00","Roy becomes Caroline's deputy manager; it’ll mean a salary rise.","06/05/06 17:21:19","06/05/06 17:21:46","fishec50","fishec50"
98,808,"04/30/06 00:00:00","Alistair got into debt with Matt for the sum of £60, 000 he also owes money on his credit cards from internet gambling in total he is in debt for about £100,000","06/08/06 17:11:17","06/08/06 17:24:24","fishec50","fishec50"
99,808,"04/27/06 00:00:00","Alistair left the matrimonial home","06/08/06 17:24:03","06/08/06 17:24:03","fishec50","fishec50"
100,972,"05/03/06 00:00:00","George's accident","06/16/06 12:08:19","06/16/06 12:08:19","fishec50","fishec50"
101,198,"06/19/06 00:00:00","Hayley on the committee","07/26/06 17:22:30","07/26/06 17:22:30","fishec50","fishec50"
102,596,"08/21/06 00:00:00","Emma pleads with Ed telling him that she still loves him but he tells her they’re finished. It’s all over.","09/28/06 15:32:56","09/28/06 15:32:56","fishec50","fishec50"
103,972,"08/21/06 00:00:00","Emma pleads with Ed telling him that she still loves him but he tells her they’re finished. It’s all over.","09/28/06 15:33:19","09/28/06 15:33:19","fishec50","fishec50"
104,1048,"08/21/06 00:00:00","Emma pleads with Ed telling him that she still loves him but he tells her they’re finished. It’s all over.","09/28/06 15:33:39","09/28/06 15:33:39","fishec50","fishec50"
105,227,"10/13/82 00:00:00","The Ambridge Cricket Club are getting the proceeds from the Christmas Revue because they need money for the new pitch at Grey Gables","11/20/06 15:45:48","11/20/06 15:46:16","fishec50","fishec50"
106,34,"01/01/85 00:00:00","David, Tony, Brian, Nelson, Neil, Mike, Nigel","11/20/06 16:33:44","11/20/06 16:33:44","fishec50","fishec50"
107,34,"01/01/76 00:00:00","Team: Harry Booker, Brian, Phil, Tony, Neil, Gordon Armstrong, Peter Stevens, Richard Adamson, Bobby Waters, Gerry Goodway, Sid Perks, Steve Manson, Charles Harvey, and the umpire is Tom Forrest.","11/20/06 16:36:34","11/20/06 16:36:34","fishec50","fishec50"
108,1017,"11/07/06 00:00:00","When push came to shove Ruth couldn’t commit adultery with Sam","01/05/07 17:52:01","01/05/07 17:53:17","fishec50","fishec50"
109,1019,"11/22/06 00:00:00","Susan gives Clarrie a hug, they put their feelings over the past few months behind them.","01/11/07 14:19:06","01/11/07 14:19:06","fishec50","fishec50"
